english,chinese
abide,遵守；忍受
abolish,废除
abrupt,突然的
abundant,丰富的
accelerate,加速
accessory,附件；配件
accommodate,容纳；适应
accord,一致；符合
acknowledge,承认；致谢
acquaint,使熟悉
acute,严重的；敏锐的
adhere,坚持；附着
adjacent,邻近的
adolescent,青少年的
advocate,提倡；拥护者
aggregate,总计；集合
allege,断言
allocate,分配
alternative,替代的；选择
ambiguous,模棱两可的
anonymous,匿名的
anticipate,预期
apparatus,装置；器械
appendix,附录；阑尾
arbitrary,任意的
architecture,建筑学
array,一系列；排列
articulate,清楚表达
ascend,上升
assess,评估
astonish,使震惊
attachment,附件；依恋
attorney,律师
authentic,真实的
automate,使自动化
autonomous,自治的；自主的
avail,有助于；利用
aviation,航空
behalf,代表；为了
benchmark,基准
bias,偏见
boost,促进；提升
boundary,边界
browse,浏览
capable,有能力的
cease,停止
coherent,连贯的
collaborate,合作
compensate,补偿
compile,编译；汇编
complement,补充
comply,遵守
comprehensive,全面的
accumulate,积累
adaptable,适应性强的
adhesive,黏性的；黏合剂
adjourn,休会；延期
administer,管理；执行
adversary,对手
aesthetic,美学的；审美的
affiliate,使隶属；分支机构
affirm,断言
aggravate,加重；激怒
alienate,使疏远
alleviate,缓和
amend,修订
analogy,类比
anticipation,预料；期待
applicable,适用的
apprehend,理解；逮捕
aptitude,天资
assimilate,吸收；同化
attribute,归因于；属性
authenticity,真实性
authorize,授权
automation,自动化
auxiliary,辅助的
bankrupt,破产的
bizarre,离奇的
blunt,钝的；直率的
bolster,支持；增强
breach,违背；缺口
briefing,情况介绍
burdensome,繁重的
calculate,计算
casualty,伤亡人员
chronic,慢性的
circulate,循环；流通
coincide,同时发生
collide,碰撞；冲突
commence,开始
commodity,商品
compartment,隔间
compatible,兼容的；和谐的
compel,强迫
competent,有能力的
conceal,隐藏
concession,让步
confer,授予；商讨
configuration,配置
confine,限制；边界
confront,面对
consecutive,连续的
consensus,共识
considerable,相当大的
consistently,一贯地
consolidate,巩固
constitute,构成
constrain,限制
contaminate,污染
contemplate,沉思；考虑
contradict,反驳
controversy,争议
converge,汇聚
convertible,可转换的
correlate,相关联
credible,可信的
cue,提示
cumulative,累积的
curriculum,课程
decent,体面的
deduce,推断
deficiency,缺乏
deliberate,深思熟虑的；故意的
depict,描绘
deprive,剥夺
derive,得出；起源于
designate,指定
desirable,理想的
deteriorate,恶化
deviate,偏离
diminish,减少
disclose,披露
discrete,分离的
displace,取代；移位
disposal,处理；处置
disrupt,扰乱
distinctive,有特色的
distort,扭曲
diverse,多样的
doctrine,学说
durable,耐用的
eccentric,古怪的
elaborate,详尽的；精心制作
elevate,提升
eligible,有资格的
embark,着手；上船
embody,体现
eminent,杰出的
empirical,经验主义的
endow,赋予
enforce,执行
enhance,提高
entitle,给予权利
eradicate,根除
erroneous,错误的
evoke,唤起
exaggerate,夸大
exclusive,独有的；排他的
exempt,免除的
explicit,明确的
exploit,利用；开发
extract,提取；摘录
feasible,可行的
fluctuate,波动
forthcoming,即将到来的
frustrate,使沮丧；挫败
functional,功能性的
furnish,提供；布置
genuine,真正的
gradient,梯度；坡度
grant,授予；同意
hazardous,危险的
highlight,突出显示；重点
hypothetical,假设的
identical,相同的
ignite,点燃
illuminate,照亮；阐明
illustration,说明；插图
impart,传授；给予
imperative,必要的；命令
impulse,冲动；推动
incompatible,不兼容的
incredible,难以置信的
indigenous,本土的
induce,诱导；引起
inequality,不平等
inhibit,抑制
initiate,发起
inject,注入
insertion,插入
insight,洞察力
inspect,检查
intact,完整无缺的
integrity,完整性；正直
intensify,加强
interfere,干涉
intermediate,中间的
intrinsic,固有的
invade,侵入
invoke,调用；援引
jointly,共同地
likewise,同样地
manifest,表明；明显的
manipulate,操纵
marginal,边缘的
mediate,调解
meticulous,一丝不苟的
monetary,货币的
neutral,中立的
notwithstanding,尽管
obsolete,过时的
offset,抵消
ongoing,持续进行的
optimum,最佳的
orient,使适应；确定方向
paradox,悖论
parameter,参数
partition,分割
persist,坚持；持续
persuade,说服
plausible,貌似有理的
precede,先于
precise,精确的
preclude,排除；妨碍
preliminary,初步的
presume,假定
prevail,盛行；获胜
probability,概率
profound,深刻的
prohibit,禁止
prominent,突出的
propel,推动
protocol,协议；礼仪
provoke,激起
qualitative,定性的
quantitative,定量的
radical,根本的；激进的
random,随机的
rationalize,使合理化
reconcile,调和；和解
redundant,多余的
refine,提炼；改进
reinforce,加强
reluctant,不情愿的
render,使得；呈现
reside,居住
restore,恢复
retain,保留
rigorous,严格的
simulate,模拟
sophisticated,复杂的；老练的
specify,明确指出
spontaneous,自发的
stabilize,稳定
subordinate,次要的；下属
substitute,替代
subtle,微妙的
substantial,大量的；实质的
successive,连续的
suppress,压制
terminate,终止
threshold,门槛
traceable,可追踪的
transaction,交易
transmit,传输
transparent,透明的；显而易见的
underlying,潜在的；根本的
unify,统一
validity,有效性
versatile,多才多艺的
via,通过
viable,可行的
virtual,虚拟的；事实上的
vulnerable,脆弱的
whereby,凭此
withstand,承受；抵挡
